ID,中文,英文,分类,字段类型,来源文件
Cash.img,双击后可以获得200个超级药水\n。,MISSING INFO,cash,desc,String.wz\Cash.img.xml
5010000,太阳效果,Sunny Day,cash,name,String.wz\Cash.img.xml
5010001,星月效果,Moon &amp; the Stars,cash,name,String.wz\Cash.img.xml
5010002,彩虹效果,Colorful Rainbow,cash,name,String.wz\Cash.img.xml
5010003,小恶魔效果,Little Devil,cash,name,String.wz\Cash.img.xml
5010004,潜水中,Underwater,cash,name,String.wz\Cash.img.xml
5010005,求爱人,Looking for Love,cash,name,String.wz\Cash.img.xml
5010006,小天使效果,Baby Angel,cash,name,String.wz\Cash.img.xml
5010007,通缉效果,Fugitive,cash,name,String.wz\Cash.img.xml
5010008,幸运儿效果,Mr. Jackpot,cash,name,String.wz\Cash.img.xml
5010009,红五星效果,Martial Effect,cash,name,String.wz\Cash.img.xml
5010010,一起玩吧,Play with Me,cash,name,String.wz\Cash.img.xml
5010011,我要自己玩,Loner,cash,name,String.wz\Cash.img.xml
5010012,平衡器,Equalizer,cash,name,String.wz\Cash.img.xml
5010013,烟火,Fireworks,cash,name,String.wz\Cash.img.xml
5010014,乌云,Stormy Cloud,cash,name,String.wz\Cash.img.xml
5010015,777效果,777 Effect,cash,name,String.wz\Cash.img.xml
5010016,警铃,Siren,cash,name,String.wz\Cash.img.xml
5010017,星星,Twinkling Star,cash,name,String.wz\Cash.img.xml
5010018,微笑,Smile,cash,name,String.wz\Cash.img.xml
5010019,爱心,Heart,cash,name,String.wz\Cash.img.xml
5010020,走! 韩国!,Go! Korea!,cash,name,String.wz\Cash.img.xml
5010021,白骨效果,Skeleton of Horror,cash,name,String.wz\Cash.img.xml
5010022,像天上的闪闪星星，但会屁颠屁\n颠地跟随角色的左右。双击图标\n或者设置快捷键的方式ON或OFF\n。,A number of twinkling stars surrounds the character in this special effect.,cash,desc,String.wz\Cash.img.xml
5010023,怦怦小红心,Pumping Heart,cash,name,String.wz\Cash.img.xml
5010024,玩具小鸭家族,The Flocking Ducks,cash,name,String.wz\Cash.img.xml
5010025,恐怖的幽灵,Silent Spectre,cash,name,String.wz\Cash.img.xml
5010026,一群吸血鬼,Indigo Dracula,cash,name,String.wz\Cash.img.xml
5010027,上火面膜,Hot Head,cash,name,String.wz\Cash.img.xml
5010028,寒冰斗魂,Indigo Flames,cash,name,String.wz\Cash.img.xml
5010029,红焰斗魂,Demonfyre,cash,name,String.wz\Cash.img.xml
5010030,雷电斗魂,Nuclear Fire,cash,name,String.wz\Cash.img.xml
5010031,我的男友,My Boyfriend,cash,name,String.wz\Cash.img.xml
5010032,我的女友,My Girlfriend,cash,name,String.wz\Cash.img.xml
5010033,哆嗦,Sheer Fear,cash,name,String.wz\Cash.img.xml
5010034,圣诞树人型立牌,Christmas Tree,cash,name,String.wz\Cash.img.xml
5010035,寒冬雪人人型立牌,Snowman,cash,name,String.wz\Cash.img.xml
5010038,瀑布,Shower Power,cash,name,String.wz\Cash.img.xml
5010039,耀眼镁光灯,Spotlight,cash,name,String.wz\Cash.img.xml
5010041,啦啦啦音符,Super Symphony,cash,name,String.wz\Cash.img.xml
5010042,忙碌的蜜蜂,Busy Bee,cash,name,String.wz\Cash.img.xml
5010043,眼光,Eyelighter,cash,name,String.wz\Cash.img.xml
5010044,幻影残像,Shadow Style,cash,name,String.wz\Cash.img.xml
5010045,被雷劈,Struck by Lightning,cash,name,String.wz\Cash.img.xml
5010046,枫叶冠军,Maple Champion,cash,name,String.wz\Cash.img.xml
5010048,把一张海报放在你的面前，仿佛\n你是世界上的枫叶冠军。可以双\n击图标或者在设置菜单中设置快\n捷键来打开或关闭。,A special effect that puts a poster in front of your face as if you&apos;re being Maple Champion around the world.  Designate a HotKey to turn the effect on/off.,cash,desc,String.wz\Cash.img.xml
5010051,霓虹圣诞树,O Maplemas Tree,cash,name,String.wz\Cash.img.xml
5010052,圣诞礼物雪橇,Santa Sled,cash,name,String.wz\Cash.img.xml
5010053,圣诞萤火虫,Mistletoe,cash,name,String.wz\Cash.img.xml
5010054,圣诞华丽丽,Jingling Santa,cash,name,String.wz\Cash.img.xml
5010055,太空飞船,UFO,cash,name,String.wz\Cash.img.xml
5010056,生命之神,Garden Trail,cash,name,String.wz\Cash.img.xml
5010057,花妖精,Flower Fairy,cash,name,String.wz\Cash.img.xml
5010999,怪物变身中,Changing to a Monster,cash,name,String.wz\Cash.img.xml
5021000,水弹,Water Balloon,cash,name,String.wz\Cash.img.xml
5021001,纸飞机,Paper Plane,cash,name,String.wz\Cash.img.xml
5021002,气功,Energy Ball,cash,name,String.wz\Cash.img.xml
5021003,星鱼,Super Star,cash,name,String.wz\Cash.img.xml
